,volcano,hazard,VEI,prob,mass,buffer,volume,length_primary,length_unclassified,length_residential,length_service,length_living_street,length_tertiary,length_secondary,length_trunk,length_trunk_link,length_primary_link,length_tertiary_link,length_motorway,length_motorway_link,length_secondary_link,length_road,month,length_motorcycle_link
8,Cereme,Tephra,4.0,50,1.0,,,567.58,4136.07,18282.47,1667.1,151.88,1274.3,706.29,334.77,3.5,6.59,0.83,172.02,48.26,1.35,,7,
9,Cereme,Tephra,4.0,50,100.0,,,83.12,325.95,1035.53,38.11,0.33,139.13,14.69,,,,,,,,,7,
10,Cereme,Tephra,4.0,90,1.0,,,335.88,2684.53,12073.4,980.04,58.01,769.01,390.4,223.98,2.66,1.9,0.43,73.32,17.05,0.76,,7,
11,Cereme,Tephra,4.0,90,100.0,,,57.56,224.87,664.24,22.36,,98.71,,,,,,,,,,7,
12,Cereme,Tephra,5.0,10,1.0,,,3321.78,26263.71,92814.72,13408.11,2964.49,8489.99,3005.49,2651.73,61.77,53.46,15.1,1434.41,495.67,18.98,4.08,7,
13,Cereme,Tephra,5.0,10,100.0,,,576.24,3683.88,17727.41,1568.6,153.2,1257.6,592.88,324.82,3.5,5.88,0.67,135.84,43.28,1.08,,7,
14,Cereme,Tephra,5.0,50,1.0,,,2631.53,21325.6,71562.17,9631.76,1653.15,6099.33,2245.55,1757.58,29.44,34.53,8.46,1082.08,391.13,10.6,0.01,7,
15,Cereme,Tephra,5.0,50,100.0,,,264.34,1961.87,9244.33,662.3,19.31,674.15,279.16,197.32,2.13,0.26,0.19,20.93,0.94,0.23,,7,
16,Cereme,Tephra,5.0,90,1.0,,,1718.32,14403.28,42273.39,5639.71,357.77,4156.26,1443.98,1038.82,8.61,9.85,4.13,576.64,164.78,1.77,0.01,7,
17,Cereme,Tephra,5.0,90,100.0,,,172.71,1115.22,5407.77,364.64,6.66,522.29,121.0,150.62,1.6,0.18,0.11,,,0.01,,7,
0,Cereme,Tephra,3.0,10,1.0,,,174.29,869.34,3717.91,200.74,1.22,342.55,80.31,76.27,1.0,0.01,,,,,,8,
1,Cereme,Tephra,3.0,10,100.0,,,,26.34,54.94,4.03,,10.28,,,,,,,,,,8,
2,Cereme,Tephra,3.0,50,1.0,,,125.1,615.98,2415.04,100.63,1.12,208.37,48.84,46.47,0.55,0.01,,,,,,8,
3,Cereme,Tephra,3.0,50,100.0,,,,25.73,43.83,3.37,,,,,,,,,,,,8,
4,Cereme,Tephra,3.0,90,1.0,,,98.58,448.47,1722.18,60.98,1.03,181.07,24.41,26.28,,0.01,,,,,,8,
5,Cereme,Tephra,3.0,90,100.0,,,,22.65,36.76,3.29,,,,,,,,,,,,8,
6,Cereme,Tephra,4.0,10,1.0,,,784.06,6864.18,22566.45,2007.15,166.71,1710.44,763.86,455.01,3.79,6.77,1.7,236.78,62.32,1.36,0.01,8,
7,Cereme,Tephra,4.0,10,100.0,,,94.68,463.31,1895.16,71.32,0.6,183.54,40.29,34.39,,0.01,,,,,,8,
8,Cereme,Tephra,4.0,50,1.0,,,594.39,4229.81,18387.99,1692.81,153.62,1292.98,705.52,345.75,3.5,6.58,1.64,152.5,48.29,1.21,,8,
9,Cereme,Tephra,4.0,50,100.0,,,78.53,315.1,1062.95,33.92,0.33,157.42,15.66,15.88,,,,,,,,8,
10,Cereme,Tephra,4.0,90,1.0,,,420.55,2745.78,12651.12,1135.6,109.78,878.74,456.43,229.83,3.13,5.31,0.53,46.4,14.45,0.84,,8,
11,Cereme,Tephra,4.0,90,100.0,,,55.24,212.41,662.99,22.39,,81.83,14.69,,,,,,,,,8,
12,Cereme,Tephra,5.0,10,1.0,,,3225.45,24570.86,86181.22,12790.05,2947.38,7695.66,2846.17,2304.07,59.84,53.23,15.03,1354.03,477.91,18.51,2.38,8,
13,Cereme,Tephra,5.0,10,100.0,,,574.21,3794.01,17153.54,1545.57,146.11,1244.74,563.87,344.89,3.39,6.06,0.65,102.73,35.88,1.08,,8,
14,Cereme,Tephra,5.0,50,1.0,,,2485.26,20771.41,67004.55,9076.89,1418.92,5917.94,2178.21,1722.19,22.99,27.59,7.78,973.55,344.75,7.74,0.01,8,
15,Cereme,Tephra,5.0,50,100.0,,,274.19,2083.99,10165.56,765.31,36.96,713.48,304.23,204.64,2.3,0.46,0.26,31.46,5.3,0.69,,8,
16,Cereme,Tephra,5.0,90,1.0,,,1475.48,12808.73,34182.65,4137.07,255.91,3442.1,1336.49,949.56,5.31,8.65,2.49,516.88,134.95,1.68,0.01,8,
