,volcano,hazard,VEI,prob,mass,buffer,volume,pop_count,area_crops,area_urban
0,Gede-Pangrango,Tephra,4,50.0,5,,,1000743.9515999998,258.5682,165.5316
0,Gede-Pangrango,Tephra,4,50.0,50,,,207411.34590000001,77.8977,55.3068
0,Gede-Pangrango,Tephra,4,50.0,100,,,27274.352400000003,38.8881,12.1338
0,Gede-Pangrango,Tephra,4,90.0,1,,,1801094.7941999997,385.6167,268.596
0,Gede-Pangrango,Tephra,4,90.0,5,,,835446.6441,215.5491,139.6521
0,Gede-Pangrango,Tephra,4,90.0,50,,,101587.30020000001,58.4577,30.6828
0,Gede-Pangrango,Tephra,4,90.0,100,,,13801.6062,25.8228,8.1162
0,Gede-Pangrango,Tephra,5,10.0,1,,,22247197.20359999,3158.9514,2310.4197
0,Gede-Pangrango,Tephra,5,10.0,5,,,7451186.160600005,1375.4367,823.8996
0,Gede-Pangrango,Tephra,5,10.0,50,,,2017409.4738,428.1579,299.619
0,Gede-Pangrango,Tephra,5,10.0,100,,,1238741.7399000002,312.8058,204.8166
0,Gede-Pangrango,Tephra,5,50.0,1,,,9879646.358699998,1990.9557,990.1359
0,Gede-Pangrango,Tephra,5,50.0,5,,,4776394.788899999,902.8665,529.7886
0,Gede-Pangrango,Tephra,5,50.0,50,,,1234946.5011000002,308.1402,189.5886
0,Gede-Pangrango,Tephra,5,50.0,100,,,853392.9717000001,216.1647,136.8333
0,Gede-Pangrango,Tephra,5,90.0,1,,,7850827.354500004,1645.353,763.5951
0,Gede-Pangrango,Tephra,5,90.0,5,,,3769110.0063000023,727.5177,434.322
0,Gede-Pangrango,Tephra,5,90.0,50,,,944957.9717999999,249.7959,150.6924
0,Gede-Pangrango,Tephra,5,90.0,100,,,604052.0487,175.5108,106.0614
0,Gede-Pangrango,BAF,,10.0,,300,9800000,438.68789999999996,1.1988,0.3645
0,Gede-Pangrango,BAF,,50.0,,300,9800000,0.0,0.0,0.0
0,Gede-Pangrango,BAF,,90.0,,300,9800000,0.0,0.0,0.0
0,Gede-Pangrango,BAF,,10.0,,990,9800000,2624.0598,2.3247,0.648
0,Gede-Pangrango,BAF,,50.0,,990,9800000,0.0,0.0,0.0
0,Gede-Pangrango,BAF,,90.0,,990,9800000,0.0,0.0,0.0
0,Gede-Pangrango,BAF,,10.0,,300,450000,0.0,0.0,0.0
